loan_id,party_id,party_role,principal_minor
EVDEMO001,BORROWER001,BORROWER,85000000
EVDEMO002,BORROWER002,BORROWER,92000000
EVDEMO003,BORROWER003,BORROWER,77500000
EVDEMO004,BORROWER004,BORROWER,103000000
EVDEMO005,BORROWER005,BORROWER,88000000
EVDEMO006,BORROWER006,BORROWER,95000000
EVDEMO007,BORROWER007,BORROWER,82500000
EVDEMO008,BORROWER008,BORROWER,99000000
EVDEMO009,BORROWER009,BORROWER,87000000
EVDEMO010,BORROWER010,BORROWER,101000000
EVDEMO011,BORROWER011,BORROWER,90500000
EVDEMO012,BORROWER012,BORROWER,84500000
