loan_id,party_id,party_role,principal_minor
SYN-A-LN-0001,SYN-A-BR-0001,BORROWER,12508571
SYN-A-LN-0001,SYN-A-CO-0001,CO_BORROWER,12508571
SYN-A-LN-0001,SYN-A-GU-0001,LINKED_PARTY,12508571
SYN-A-LN-0002,SYN-A-BR-0002,BORROWER,11412108
SYN-A-LN-0002,SYN-A-CO-0002,CO_BORROWER,11412108
SYN-A-LN-0002,SYN-A-GU-0002,LINKED_PARTY,11412108
SYN-A-LN-0003,SYN-A-BR-0003,BORROWER,16006414
SYN-A-LN-0003,SYN-A-CO-0003,CO_BORROWER,16006414
SYN-A-LN-0003,SYN-A-GU-0003,LINKED_PARTY,16006414
SYN-A-LN-0004,SYN-A-BR-0004,BORROWER,14937213
SYN-A-LN-0004,SYN-A-CO-0004,CO_BORROWER,14937213
SYN-A-LN-0004,SYN-A-GU-0004,LINKED_PARTY,14937213
SYN-A-LN-0005,SYN-A-BR-0005,BORROWER,19290819
SYN-A-LN-0005,SYN-A-CO-0005,CO_BORROWER,19290819
SYN-A-LN-0005,SYN-A-GU-0005,LINKED_PARTY,19290819
SYN-A-LN-0006,SYN-A-BR-0006,BORROWER,19823841
SYN-A-LN-0006,SYN-A-CO-0006,CO_BORROWER,19823841
SYN-A-LN-0006,SYN-A-GU-0006,LINKED_PARTY,19823841
SYN-A-LN-0007,SYN-A-BR-0007,BORROWER,23307532
SYN-A-LN-0007,SYN-A-CO-0007,CO_BORROWER,23307532
SYN-A-LN-0007,SYN-A-GU-0007,LINKED_PARTY,23307532
SYN-A-LN-0008,SYN-A-BR-0008,BORROWER,22635206
SYN-A-LN-0008,SYN-A-CO-0008,CO_BORROWER,22635206
SYN-A-LN-0008,SYN-A-GU-0008,LINKED_PARTY,22635206
SYN-A-LN-0009,SYN-A-BR-0009,BORROWER,11176436
SYN-A-LN-0009,SYN-A-CO-0009,CO_BORROWER,11176436
SYN-A-LN-0009,SYN-A-GU-0009,LINKED_PARTY,11176436
SYN-A-LN-0010,SYN-A-BR-0010,BORROWER,9736928
SYN-A-LN-0010,SYN-A-CO-0010,CO_BORROWER,9736928
SYN-A-LN-0010,SYN-A-GU-0010,LINKED_PARTY,9736928
SYN-A-LN-0011,SYN-A-BR-0011,BORROWER,14132991
SYN-A-LN-0011,SYN-A-CO-0011,CO_BORROWER,14132991
SYN-A-LN-0011,SYN-A-GU-0011,LINKED_PARTY,14132991
SYN-A-LN-0012,SYN-A-BR-0012,BORROWER,14819825
SYN-A-LN-0012,SYN-A-CO-0012,CO_BORROWER,14819825
SYN-A-LN-0012,SYN-A-GU-0012,LINKED_PARTY,14819825
SYN-A-LN-0013,SYN-A-BR-0013,BORROWER,17767299
SYN-A-LN-0013,SYN-A-CO-0013,CO_BORROWER,17767299
SYN-A-LN-0013,SYN-A-GU-0013,LINKED_PARTY,17767299
SYN-A-LN-0014,SYN-A-BR-0014,BORROWER,16758587
