loan_id,party_id,party_role,principal_minor
SYN-B-LN-0001,SYN-B-BR-0001,BORROWER,15085761
SYN-B-LN-0001,SYN-B-CO-0001,CO_BORROWER,15085761
SYN-B-LN-0001,SYN-B-GU-0001,LINKED_PARTY,15085761
SYN-B-LN-0002,SYN-B-BR-0002,BORROWER,13414048
SYN-B-LN-0002,SYN-B-CO-0002,CO_BORROWER,13414048
SYN-B-LN-0002,SYN-B-GU-0002,LINKED_PARTY,13414048
SYN-B-LN-0003,SYN-B-BR-0003,BORROWER,18405017
SYN-B-LN-0003,SYN-B-CO-0003,CO_BORROWER,18405017
SYN-B-LN-0003,SYN-B-GU-0003,LINKED_PARTY,18405017
SYN-B-LN-0004,SYN-B-BR-0004,BORROWER,16851775
SYN-B-LN-0004,SYN-B-CO-0004,CO_BORROWER,16851775
SYN-B-LN-0004,SYN-B-GU-0004,LINKED_PARTY,16851775
SYN-B-LN-0005,SYN-B-BR-0005,BORROWER,21404341
SYN-B-LN-0005,SYN-B-CO-0005,CO_BORROWER,21404341
SYN-B-LN-0005,SYN-B-GU-0005,LINKED_PARTY,21404341
SYN-B-LN-0006,SYN-B-BR-0006,BORROWER,21675514
SYN-B-LN-0006,SYN-B-CO-0006,CO_BORROWER,21675514
SYN-B-LN-0006,SYN-B-GU-0006,LINKED_PARTY,21675514
SYN-B-LN-0007,SYN-B-BR-0007,BORROWER,25154729
SYN-B-LN-0007,SYN-B-CO-0007,CO_BORROWER,25154729
SYN-B-LN-0007,SYN-B-GU-0007,LINKED_PARTY,25154729
SYN-B-LN-0008,SYN-B-BR-0008,BORROWER,24146133
SYN-B-LN-0008,SYN-B-CO-0008,CO_BORROWER,24146133
SYN-B-LN-0008,SYN-B-GU-0008,LINKED_PARTY,24146133
SYN-B-LN-0009,SYN-B-BR-0009,BORROWER,13896130
SYN-B-LN-0009,SYN-B-CO-0009,CO_BORROWER,13896130
SYN-B-LN-0009,SYN-B-GU-0009,LINKED_PARTY,13896130
SYN-B-LN-0010,SYN-B-BR-0010,BORROWER,11743065
SYN-B-LN-0010,SYN-B-CO-0010,CO_BORROWER,11743065
SYN-B-LN-0010,SYN-B-GU-0010,LINKED_PARTY,11743065
SYN-B-LN-0011,SYN-B-BR-0011,BORROWER,16612233
SYN-B-LN-0011,SYN-B-CO-0011,CO_BORROWER,16612233
SYN-B-LN-0011,SYN-B-GU-0011,LINKED_PARTY,16612233
SYN-B-LN-0012,SYN-B-BR-0012,BORROWER,17040616
SYN-B-LN-0012,SYN-B-CO-0012,CO_BORROWER,17040616
SYN-B-LN-0012,SYN-B-GU-0012,LINKED_PARTY,17040616
SYN-B-LN-0013,SYN-B-BR-0013,BORROWER,20044605
SYN-B-LN-0013,SYN-B-CO-0013,CO_BORROWER,20044605
SYN-B-LN-0013,SYN-B-GU-0013,LINKED_PARTY,20044605
SYN-B-LN-0014,SYN-B-BR-0014,BORROWER,18594676
SYN-B-LN-0014,SYN-B-CO-0014,CO_BORROWER,18594676
SYN-B-LN-0014,SYN-B-GU-0014,LINKED_PARTY,18594676
SYN-B-LN-0015,SYN-B-BR-0015,BORROWER,23142587
SYN-B-LN-0015,SYN-B-CO-0015,CO_BORROWER,23142587
SYN-B-LN-0015,SYN-B-GU-0015,LINKED_PARTY,23142587
SYN-B-LN-0016,SYN-B-BR-0016,BORROWER,21987041
SYN-B-LN-0016,SYN-B-CO-0016,CO_BORROWER,21987041
SYN-B-LN-0016,SYN-B-GU-0016,LINKED_PARTY,21987041
SYN-B-LN-0017,SYN-B-BR-0017,BORROWER,26992624
SYN-B-LN-0017,SYN-B-CO-0017,CO_BORROWER,26992624
SYN-B-LN-0017,SYN-B-GU-0017,LINKED_PARTY,26992624
SYN-B-LN-0018,SYN-B-BR-0018,BORROWER,11142119
SYN-B-LN-0018,SYN-B-CO-0018,CO_BORROWER,11142119
SYN-B-LN-0018,SYN-B-GU-0018,LINKED_PARTY,11142119
SYN-B-LN-0019,SYN-B-BR-0019,BORROWER,15380701
SYN-B-LN-0019,SYN-B-CO-0019,CO_BORROWER,15380701
SYN-B-LN-0019,SYN-B-GU-0019,LINKED_PARTY,15380701
SYN-B-LN-0020,SYN-B-BR-0020,BORROWER,13238603
SYN-B-LN-0020,SYN-B-CO-0020,CO_BORROWER,13238603
SYN-B-LN-0020,SYN-B-GU-0020,LINKED_PARTY,13238603
SYN-B-LN-0021,SYN-B-BR-0021,BORROWER,18193382
SYN-B-LN-0021,SYN-B-CO-0021,CO_BORROWER,18193382
SYN-B-LN-0021,SYN-B-GU-0021,LINKED_PARTY,18193382
SYN-B-LN-0022,SYN-B-BR-0022,BORROWER,16660245
SYN-B-LN-0022,SYN-B-CO-0022,CO_BORROWER,16660245
SYN-B-LN-0022,SYN-B-GU-0022,LINKED_PARTY,16660245
SYN-B-LN-0023,SYN-B-BR-0023,BORROWER,21735079
SYN-B-LN-0023,SYN-B-CO-0023,CO_BORROWER,21735079
SYN-B-LN-0023,SYN-B-GU-0023,LINKED_PARTY,21735079
SYN-B-LN-0024,SYN-B-BR-0024,BORROWER,21954476
SYN-B-LN-0024,SYN-B-CO-0024,CO_BORROWER,21954476
SYN-B-LN-0024,SYN-B-GU-0024,LINKED_PARTY,21954476
SYN-B-LN-0025,SYN-B-BR-0025,BORROWER,24932404
SYN-B-LN-0025,SYN-B-CO-0025,CO_BORROWER,24932404
SYN-B-LN-0025,SYN-B-GU-0025,LINKED_PARTY,24932404
SYN-B-LN-0026,SYN-B-BR-0026,BORROWER,23940121
SYN-B-LN-0026,SYN-B-CO-0026,CO_BORROWER,23940121
SYN-B-LN-0026,SYN-B-GU-0026,LINKED_PARTY,23940121
SYN-B-LN-0027,SYN-B-BR-0027,BORROWER,13709309
SYN-B-LN-0027,SYN-B-CO-0027,CO_BORROWER,13709309
SYN-B-LN-0027,SYN-B-GU-0027,LINKED_PARTY,13709309
SYN-B-LN-0028,SYN-B-BR-0028,BORROWER,11989889
SYN-B-LN-0028,SYN-B-CO-0028,CO_BORROWER,11989889
SYN-B-LN-0028,SYN-B-GU-0028,LINKED_PARTY,11989889
SYN-B-LN-0029,SYN-B-BR-0029,BORROWER,16918932
SYN-B-LN-0029,SYN-B-CO-0029,CO_BORROWER,16918932
SYN-B-LN-0029,SYN-B-GU-0029,LINKED_PARTY,16918932
SYN-B-LN-0030,SYN-B-BR-0030,BORROWER,16868607
SYN-B-LN-0030,SYN-B-CO-0030,CO_BORROWER,16868607
SYN-B-LN-0030,SYN-B-GU-0030,LINKED_PARTY,16868607
SYN-B-LN-0031,SYN-B-BR-0031,BORROWER,19828164
SYN-B-LN-0031,SYN-B-CO-0031,CO_BORROWER,19828164
SYN-B-LN-0031,SYN-B-GU-0031,LINKED_PARTY,19828164
SYN-B-LN-0032,SYN-B-BR-0032,BORROWER,18397000
SYN-B-LN-0032,SYN-B-CO-0032,CO_BORROWER,18397000
SYN-B-LN-0032,SYN-B-GU-0032,LINKED_PARTY,18397000
SYN-B-LN-0033,SYN-B-BR-0033,BORROWER,23475327
SYN-B-LN-0033,SYN-B-CO-0033,CO_BORROWER,23475327
SYN-B-LN-0033,SYN-B-GU-0033,LINKED_PARTY,23475327
SYN-B-LN-0034,SYN-B-BR-0034,BORROWER,22294557
SYN-B-LN-0034,SYN-B-CO-0034,CO_BORROWER,22294557
SYN-B-LN-0034,SYN-B-GU-0034,LINKED_PARTY,22294557
SYN-B-LN-0035,SYN-B-BR-0035,BORROWER,26772866
SYN-B-LN-0035,SYN-B-CO-0035,CO_BORROWER,26772866
SYN-B-LN-0035,SYN-B-GU-0035,LINKED_PARTY,26772866
SYN-B-LN-0036,SYN-B-BR-0036,BORROWER,10989355
SYN-B-LN-0036,SYN-B-CO-0036,CO_BORROWER,10989355
SYN-B-LN-0036,SYN-B-GU-0036,LINKED_PARTY,10989355
SYN-B-LN-0037,SYN-B-BR-0037,BORROWER,15184737
SYN-B-LN-0037,SYN-B-CO-0037,CO_BORROWER,15184737
SYN-B-LN-0037,SYN-B-GU-0037,LINKED_PARTY,15184737
SYN-B-LN-0038,SYN-B-BR-0038,BORROWER,13501436
SYN-B-LN-0038,SYN-B-CO-0038,CO_BORROWER,13501436
SYN-B-LN-0038,SYN-B-GU-0038,LINKED_PARTY,13501436
SYN-B-LN-0039,SYN-B-BR-0039,BORROWER,18509590
SYN-B-LN-0039,SYN-B-CO-0039,CO_BORROWER,18509590
SYN-B-LN-0039,SYN-B-GU-0039,LINKED_PARTY,18509590
SYN-B-LN-0040,SYN-B-BR-0040,BORROWER,16467303
SYN-B-LN-0040,SYN-B-CO-0040,CO_BORROWER,16467303
SYN-B-LN-0040,SYN-B-GU-0040,LINKED_PARTY,16467303
SYN-B-LN-0041,SYN-B-BR-0041,BORROWER,21515550
SYN-B-LN-0041,SYN-B-CO-0041,CO_BORROWER,21515550
SYN-B-LN-0041,SYN-B-GU-0041,LINKED_PARTY,21515550
SYN-B-LN-0042,SYN-B-BR-0042,BORROWER,21769050
SYN-B-LN-0042,SYN-B-CO-0042,CO_BORROWER,21769050
SYN-B-LN-0042,SYN-B-GU-0042,LINKED_PARTY,21769050
SYN-B-LN-0043,SYN-B-BR-0043,BORROWER,25264257
SYN-B-LN-0043,SYN-B-CO-0043,CO_BORROWER,25264257
SYN-B-LN-0043,SYN-B-GU-0043,LINKED_PARTY,25264257
SYN-B-LN-0044,SYN-B-BR-0044,BORROWER,24248227
SYN-B-LN-0044,SYN-B-CO-0044,CO_BORROWER,24248227
SYN-B-LN-0044,SYN-B-GU-0044,LINKED_PARTY,24248227
SYN-B-LN-0045,SYN-B-BR-0045,BORROWER,13520186
SYN-B-LN-0045,SYN-B-CO-0045,CO_BORROWER,13520186
SYN-B-LN-0045,SYN-B-GU-0045,LINKED_PARTY,13520186
SYN-B-LN-0046,SYN-B-BR-0046,BORROWER,11825501
SYN-B-LN-0046,SYN-B-CO-0046,CO_BORROWER,11825501
