classification,seller_institution_id,seller_name,loanbook_ref,loan_id,borrower_id,borrower_display_name,vehicle_type,state,origination_date,as_of_date,original_principal_inr,principal_outstanding_inr,annual_interest_rate_percent,original_term_months,instalments_paid,scheduled_instalment_inr,days_past_due,missed_instalments
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0001,SYN-A-BR-0001,Synthetic Borrower A0001,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,185723.62,125085.71,15.0,48,19,5168.83,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0002,SYN-A-BR-0002,Synthetic Borrower A0002,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,204034.38,114121.08,16.0,36,18,7173.24,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0003,SYN-A-BR-0003,Synthetic Borrower A0003,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,222345.18,160064.14,17.0,48,17,6415.78,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0004,SYN-A-BR-0004,Synthetic Borrower A0004,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,240655.96,149372.13,18.0,36,16,8700.29,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0005,SYN-A-BR-0005,Synthetic Borrower A0005,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,258966.74,192908.19,14.0,48,15,7076.65,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0006,SYN-A-BR-0006,Synthetic Borrower A0006,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,277277.51,198238.41,15.0,36,12,9611.92,66,2
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0007,SYN-A-BR-0007,Synthetic Borrower A0007,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,295588.29,233075.32,16.0,48,13,8377.06,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0008,SYN-A-BR-0008,Synthetic Borrower A0008,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,313899.08,226352.06,17.0,36,12,11191.36,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0009,SYN-A-BR-0009,Synthetic Borrower A0009,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,167412.84,111764.36,18.0,48,20,4917.75,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0010,SYN-A-BR-0010,Synthetic Borrower A0010,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,185723.62,97369.28,14.0,36,19,6347.59,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0011,SYN-A-BR-0011,Synthetic Borrower A0011,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,204034.4,141329.91,15.0,48,18,5678.43,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0012,SYN-A-BR-0012,Synthetic Borrower A0012,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,222345.17,148198.25,16.0,36,14,7817.0,93,3
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0013,SYN-A-BR-0013,Synthetic Borrower A0013,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,240655.95,177672.99,17.0,48,16,6944.14,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0014,SYN-A-BR-0014,Synthetic Borrower A0014,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,258966.73,167585.87,18.0,36,15,9362.27,0,0
