classification,seller_institution_id,loanbook_ref,loan_id,party_id,party_role,principal_minor
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0001,SYN-A-BR-0001,BORROWER,12508571
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0001,SYN-A-CO-0001,CO_BORROWER,12508571
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0001,SYN-A-GU-0001,LINKED_PARTY,12508571
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0002,SYN-A-BR-0002,BORROWER,11412108
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0002,SYN-A-CO-0002,CO_BORROWER,11412108
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0002,SYN-A-GU-0002,LINKED_PARTY,11412108
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0003,SYN-A-BR-0003,BORROWER,16006414
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0003,SYN-A-CO-0003,CO_BORROWER,16006414
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0003,SYN-A-GU-0003,LINKED_PARTY,16006414
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0004,SYN-A-BR-0004,BORROWER,14937213
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0004,SYN-A-CO-0004,CO_BORROWER,14937213
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0004,SYN-A-GU-0004,LINKED_PARTY,14937213
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0005,SYN-A-BR-0005,BORROWER,19290819
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0005,SYN-A-CO-0005,CO_BORROWER,19290819
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0005,SYN-A-GU-0005,LINKED_PARTY,19290819
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0006,SYN-A-BR-0006,BORROWER,19823841
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0006,SYN-A-CO-0006,CO_BORROWER,19823841
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0006,SYN-A-GU-0006,LINKED_PARTY,19823841
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0007,SYN-A-BR-0007,BORROWER,23307532
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0007,SYN-A-CO-0007,CO_BORROWER,23307532
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0007,SYN-A-GU-0007,LINKED_PARTY,23307532
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0008,SYN-A-BR-0008,BORROWER,22635206
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0008,SYN-A-CO-0008,CO_BORROWER,22635206
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0008,SYN-A-GU-0008,LINKED_PARTY,22635206
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0009,SYN-A-BR-0009,BORROWER,11176436
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0009,SYN-A-CO-0009,CO_BORROWER,11176436
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0009,SYN-A-GU-0009,LINKED_PARTY,11176436
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0010,SYN-A-BR-0010,BORROWER,9736928
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0010,SYN-A-CO-0010,CO_BORROWER,9736928
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0010,SYN-A-GU-0010,LINKED_PARTY,9736928
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0011,SYN-A-BR-0011,BORROWER,14132991
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0011,SYN-A-CO-0011,CO_BORROWER,14132991
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0011,SYN-A-GU-0011,LINKED_PARTY,14132991
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0012,SYN-A-BR-0012,BORROWER,14819825
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0012,SYN-A-CO-0012,CO_BORROWER,14819825
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0012,SYN-A-GU-0012,LINKED_PARTY,14819825
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0013,SYN-A-BR-0013,BORROWER,17767299
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0013,SYN-A-CO-0013,CO_BORROWER,17767299
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0013,SYN-A-GU-0013,LINKED_PARTY,17767299
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0014,SYN-A-BR-0014,BORROWER,16758587
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0014,SYN-A-CO-0014,CO_BORROWER,16758587
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0014,SYN-A-GU-0014,LINKED_PARTY,16758587
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0015,SYN-A-BR-0015,BORROWER,21165586
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0015,SYN-A-CO-0015,CO_BORROWER,21165586
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0015,SYN-A-GU-0015,LINKED_PARTY,21165586
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0016,SYN-A-BR-0016,BORROWER,20372458
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0016,SYN-A-CO-0016,CO_BORROWER,20372458
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0016,SYN-A-GU-0016,LINKED_PARTY,20372458
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0017,SYN-A-BR-0017,BORROWER,25303580
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0017,SYN-A-CO-0017,CO_BORROWER,25303580
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0017,SYN-A-GU-0017,LINKED_PARTY,25303580
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0018,SYN-A-BR-0018,BORROWER,8961429
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0018,SYN-A-CO-0018,CO_BORROWER,8961429
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0018,SYN-A-GU-0018,LINKED_PARTY,8961429
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0019,SYN-A-BR-0019,BORROWER,12753125
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0019,SYN-A-CO-0019,CO_BORROWER,12753125
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0019,SYN-A-GU-0019,LINKED_PARTY,12753125
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0020,SYN-A-BR-0020,BORROWER,11262848
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0020,SYN-A-CO-0020,CO_BORROWER,11262848
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0020,SYN-A-GU-0020,LINKED_PARTY,11262848
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0021,SYN-A-BR-0021,BORROWER,15822360
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0021,SYN-A-CO-0021,CO_BORROWER,15822360
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0021,SYN-A-GU-0021,LINKED_PARTY,15822360
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0022,SYN-A-BR-0022,BORROWER,14767443
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0022,SYN-A-CO-0022,CO_BORROWER,14767443
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0022,SYN-A-GU-0022,LINKED_PARTY,14767443
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0023,SYN-A-BR-0023,BORROWER,19588899
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0023,SYN-A-CO-0023,CO_BORROWER,19588899
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0023,SYN-A-GU-0023,LINKED_PARTY,19588899
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0024,SYN-A-BR-0024,BORROWER,20078972
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0024,SYN-A-CO-0024,CO_BORROWER,20078972
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0024,SYN-A-GU-0024,LINKED_PARTY,20078972
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0025,SYN-A-BR-0025,BORROWER,23101534
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0025,SYN-A-CO-0025,CO_BORROWER,23101534
