loan_id,party_id,party_role,principal_minor
SYN-C-LN-0001,SYN-C-BR-0001,BORROWER,16790313
SYN-C-LN-0001,SYN-C-CO-0001,CO_BORROWER,16790313
SYN-C-LN-0001,SYN-C-GU-0001,LINKED_PARTY,16790313
SYN-C-LN-0002,SYN-C-BR-0002,BORROWER,14712342
SYN-C-LN-0002,SYN-C-CO-0002,CO_BORROWER,14712342
SYN-C-LN-0002,SYN-C-GU-0002,LINKED_PARTY,14712342
SYN-C-LN-0003,SYN-C-BR-0003,BORROWER,19925074
SYN-C-LN-0003,SYN-C-CO-0003,CO_BORROWER,19925074
SYN-C-LN-0003,SYN-C-GU-0003,LINKED_PARTY,19925074
SYN-C-LN-0004,SYN-C-BR-0004,BORROWER,18032220
SYN-C-LN-0004,SYN-C-CO-0004,CO_BORROWER,18032220
SYN-C-LN-0004,SYN-C-GU-0004,LINKED_PARTY,18032220
SYN-C-LN-0005,SYN-C-BR-0005,BORROWER,22664853
SYN-C-LN-0005,SYN-C-CO-0005,CO_BORROWER,22664853
SYN-C-LN-0005,SYN-C-GU-0005,LINKED_PARTY,22664853
SYN-C-LN-0006,SYN-C-BR-0006,BORROWER,22735405
SYN-C-LN-0006,SYN-C-CO-0006,CO_BORROWER,22735405
SYN-C-LN-0006,SYN-C-GU-0006,LINKED_PARTY,22735405
SYN-C-LN-0007,SYN-C-BR-0007,BORROWER,26158346
SYN-C-LN-0007,SYN-C-CO-0007,CO_BORROWER,26158346
SYN-C-LN-0007,SYN-C-GU-0007,LINKED_PARTY,26158346
SYN-C-LN-0008,SYN-C-BR-0008,BORROWER,24912746
SYN-C-LN-0008,SYN-C-CO-0008,CO_BORROWER,24912746
SYN-C-LN-0008,SYN-C-GU-0008,LINKED_PARTY,24912746
SYN-C-LN-0009,SYN-C-BR-0009,BORROWER,15725713
SYN-C-LN-0009,SYN-C-CO-0009,CO_BORROWER,15725713
SYN-C-LN-0009,SYN-C-GU-0009,LINKED_PARTY,15725713
SYN-C-LN-0010,SYN-C-BR-0010,BORROWER,13069924
SYN-C-LN-0010,SYN-C-CO-0010,CO_BORROWER,13069924
SYN-C-LN-0010,SYN-C-GU-0010,LINKED_PARTY,13069924
SYN-C-LN-0011,SYN-C-BR-0011,BORROWER,18220069
SYN-C-LN-0011,SYN-C-CO-0011,CO_BORROWER,18220069
SYN-C-LN-0011,SYN-C-GU-0011,LINKED_PARTY,18220069
SYN-C-LN-0012,SYN-C-BR-0012,BORROWER,18447988
SYN-C-LN-0012,SYN-C-CO-0012,CO_BORROWER,18447988
SYN-C-LN-0012,SYN-C-GU-0012,LINKED_PARTY,18447988
SYN-C-LN-0013,SYN-C-BR-0013,BORROWER,21448703
SYN-C-LN-0013,SYN-C-CO-0013,CO_BORROWER,21448703
SYN-C-LN-0013,SYN-C-GU-0013,LINKED_PARTY,21448703
SYN-C-LN-0014,SYN-C-BR-0014,BORROWER,19689725
SYN-C-LN-0014,SYN-C-CO-0014,CO_BORROWER,19689725
SYN-C-LN-0014,SYN-C-GU-0014,LINKED_PARTY,19689725
SYN-C-LN-0015,SYN-C-BR-0015,BORROWER,24274214
SYN-C-LN-0015,SYN-C-CO-0015,CO_BORROWER,24274214
SYN-C-LN-0015,SYN-C-GU-0015,LINKED_PARTY,24274214
SYN-C-LN-0016,SYN-C-BR-0016,BORROWER,22864274
SYN-C-LN-0016,SYN-C-CO-0016,CO_BORROWER,22864274
SYN-C-LN-0016,SYN-C-GU-0016,LINKED_PARTY,22864274
SYN-C-LN-0017,SYN-C-BR-0017,BORROWER,27849610
SYN-C-LN-0017,SYN-C-CO-0017,CO_BORROWER,27849610
SYN-C-LN-0017,SYN-C-GU-0017,LINKED_PARTY,27849610
SYN-C-LN-0018,SYN-C-BR-0018,BORROWER,12609105
SYN-C-LN-0018,SYN-C-CO-0018,CO_BORROWER,12609105
SYN-C-LN-0018,SYN-C-GU-0018,LINKED_PARTY,12609105
SYN-C-LN-0019,SYN-C-BR-0019,BORROWER,17118579
SYN-C-LN-0019,SYN-C-CO-0019,CO_BORROWER,17118579
SYN-C-LN-0019,SYN-C-GU-0019,LINKED_PARTY,17118579
SYN-C-LN-0020,SYN-C-BR-0020,BORROWER,14519917
SYN-C-LN-0020,SYN-C-CO-0020,CO_BORROWER,14519917
SYN-C-LN-0020,SYN-C-GU-0020,LINKED_PARTY,14519917
SYN-C-LN-0021,SYN-C-BR-0021,BORROWER,19695962
SYN-C-LN-0021,SYN-C-CO-0021,CO_BORROWER,19695962
SYN-C-LN-0021,SYN-C-GU-0021,LINKED_PARTY,19695962
SYN-C-LN-0022,SYN-C-BR-0022,BORROWER,17827273
SYN-C-LN-0022,SYN-C-CO-0022,CO_BORROWER,17827273
SYN-C-LN-0022,SYN-C-GU-0022,LINKED_PARTY,17827273
SYN-C-LN-0023,SYN-C-BR-0023,BORROWER,23015068
SYN-C-LN-0023,SYN-C-CO-0023,CO_BORROWER,23015068
SYN-C-LN-0023,SYN-C-GU-0023,LINKED_PARTY,23015068
SYN-C-LN-0024,SYN-C-BR-0024,BORROWER,23028007
SYN-C-LN-0024,SYN-C-CO-0024,CO_BORROWER,23028007
SYN-C-LN-0024,SYN-C-GU-0024,LINKED_PARTY,23028007
SYN-C-LN-0025,SYN-C-BR-0025,BORROWER,25927152
SYN-C-LN-0025,SYN-C-CO-0025,CO_BORROWER,25927152
SYN-C-LN-0025,SYN-C-GU-0025,LINKED_PARTY,25927152
SYN-C-LN-0026,SYN-C-BR-0026,BORROWER,24700193
SYN-C-LN-0026,SYN-C-CO-0026,CO_BORROWER,24700193
SYN-C-LN-0026,SYN-C-GU-0026,LINKED_PARTY,24700193
SYN-C-LN-0027,SYN-C-BR-0027,BORROWER,15514296
SYN-C-LN-0027,SYN-C-CO-0027,CO_BORROWER,15514296
SYN-C-LN-0027,SYN-C-GU-0027,LINKED_PARTY,15514296
SYN-C-LN-0028,SYN-C-BR-0028,BORROWER,13344636
SYN-C-LN-0028,SYN-C-CO-0028,CO_BORROWER,13344636
SYN-C-LN-0028,SYN-C-GU-0028,LINKED_PARTY,13344636
SYN-C-LN-0029,SYN-C-BR-0029,BORROWER,18556451
SYN-C-LN-0029,SYN-C-CO-0029,CO_BORROWER,18556451
SYN-C-LN-0029,SYN-C-GU-0029,LINKED_PARTY,18556451
SYN-C-LN-0030,SYN-C-BR-0030,BORROWER,18261774
SYN-C-LN-0030,SYN-C-CO-0030,CO_BORROWER,18261774
SYN-C-LN-0030,SYN-C-GU-0030,LINKED_PARTY,18261774
SYN-C-LN-0031,SYN-C-BR-0031,BORROWER,21217101
SYN-C-LN-0031,SYN-C-CO-0031,CO_BORROWER,21217101
SYN-C-LN-0031,SYN-C-GU-0031,LINKED_PARTY,21217101
SYN-C-LN-0032,SYN-C-BR-0032,BORROWER,19480407
SYN-C-LN-0032,SYN-C-CO-0032,CO_BORROWER,19480407
SYN-C-LN-0032,SYN-C-GU-0032,LINKED_PARTY,19480407
SYN-C-LN-0033,SYN-C-BR-0033,BORROWER,24623225
SYN-C-LN-0033,SYN-C-CO-0033,CO_BORROWER,24623225
SYN-C-LN-0033,SYN-C-GU-0033,LINKED_PARTY,24623225
SYN-C-LN-0034,SYN-C-BR-0034,BORROWER,23184061
SYN-C-LN-0034,SYN-C-CO-0034,CO_BORROWER,23184061
SYN-C-LN-0034,SYN-C-GU-0034,LINKED_PARTY,23184061
SYN-C-LN-0035,SYN-C-BR-0035,BORROWER,27622876
SYN-C-LN-0035,SYN-C-CO-0035,CO_BORROWER,27622876
SYN-C-LN-0035,SYN-C-GU-0035,LINKED_PARTY,27622876
SYN-C-LN-0036,SYN-C-BR-0036,BORROWER,12436228
SYN-C-LN-0036,SYN-C-CO-0036,CO_BORROWER,12436228
SYN-C-LN-0036,SYN-C-GU-0036,LINKED_PARTY,12436228
SYN-C-LN-0037,SYN-C-BR-0037,BORROWER,16900473
SYN-C-LN-0037,SYN-C-CO-0037,CO_BORROWER,16900473
SYN-C-LN-0037,SYN-C-GU-0037,LINKED_PARTY,16900473
SYN-C-LN-0038,SYN-C-BR-0038,BORROWER,14808189
SYN-C-LN-0038,SYN-C-CO-0038,CO_BORROWER,14808189
SYN-C-LN-0038,SYN-C-GU-0038,LINKED_PARTY,14808189
SYN-C-LN-0039,SYN-C-BR-0039,BORROWER,20038283
SYN-C-LN-0039,SYN-C-CO-0039,CO_BORROWER,20038283
SYN-C-LN-0039,SYN-C-GU-0039,LINKED_PARTY,20038283
SYN-C-LN-0040,SYN-C-BR-0040,BORROWER,17620816
SYN-C-LN-0040,SYN-C-CO-0040,CO_BORROWER,17620816
SYN-C-LN-0040,SYN-C-GU-0040,LINKED_PARTY,17620816
SYN-C-LN-0041,SYN-C-BR-0041,BORROWER,22782611
SYN-C-LN-0041,SYN-C-CO-0041,CO_BORROWER,22782611
SYN-C-LN-0041,SYN-C-GU-0041,LINKED_PARTY,22782611
SYN-C-LN-0042,SYN-C-BR-0042,BORROWER,22833514
SYN-C-LN-0042,SYN-C-CO-0042,CO_BORROWER,22833514
SYN-C-LN-0042,SYN-C-GU-0042,LINKED_PARTY,22833514
SYN-C-LN-0043,SYN-C-BR-0043,BORROWER,26272245
SYN-C-LN-0043,SYN-C-CO-0043,CO_BORROWER,26272245
SYN-C-LN-0043,SYN-C-GU-0043,LINKED_PARTY,26272245
SYN-C-LN-0044,SYN-C-BR-0044,BORROWER,25018082
SYN-C-LN-0044,SYN-C-CO-0044,CO_BORROWER,25018082
SYN-C-LN-0044,SYN-C-GU-0044,LINKED_PARTY,25018082
SYN-C-LN-0045,SYN-C-BR-0045,BORROWER,15300272
SYN-C-LN-0045,SYN-C-CO-0045,CO_BORROWER,15300272
SYN-C-LN-0045,SYN-C-GU-0045,LINKED_PARTY,15300272
SYN-C-LN-0046,SYN-C-BR-0046,BORROWER,13161674
SYN-C-LN-0046,SYN-C-CO-0046,CO_BORROWER,13161674
SYN-C-LN-0046,SYN-C-GU-0046,LINKED_PARTY,13161674
SYN-C-LN-0047,SYN-C-BR-0047,BORROWER,18333013
SYN-C-LN-0047,SYN-C-CO-0047,CO_BORROWER,18333013
SYN-C-LN-0047,SYN-C-GU-0047,LINKED_PARTY,18333013
SYN-C-LN-0048,SYN-C-BR-0048,BORROWER,18540436
SYN-C-LN-0048,SYN-C-CO-0048,CO_BORROWER,18540436
SYN-C-LN-0048,SYN-C-GU-0048,LINKED_PARTY,18540436
SYN-C-LN-0049,SYN-C-BR-0049,BORROWER,21563049
SYN-C-LN-0049,SYN-C-CO-0049,CO_BORROWER,21563049
SYN-C-LN-0049,SYN-C-GU-0049,LINKED_PARTY,21563049
SYN-C-LN-0050,SYN-C-BR-0050,BORROWER,19269315
SYN-C-LN-0050,SYN-C-CO-0050,CO_BORROWER,19269315
SYN-C-LN-0050,SYN-C-GU-0050,LINKED_PARTY,19269315
SYN-C-LN-0051,SYN-C-BR-0051,BORROWER,24391630
SYN-C-LN-0051,SYN-C-CO-0051,CO_BORROWER,24391630
SYN-C-LN-0051,SYN-C-GU-0051,LINKED_PARTY,24391630
SYN-C-LN-0052,SYN-C-BR-0052,BORROWER,22971440
SYN-C-LN-0052,SYN-C-CO-0052,CO_BORROWER,22971440
SYN-C-LN-0052,SYN-C-GU-0052,LINKED_PARTY,22971440
SYN-C-LN-0053,SYN-C-BR-0053,BORROWER,27961222
SYN-C-LN-0053,SYN-C-CO-0053,CO_BORROWER,27961222
SYN-C-LN-0053,SYN-C-GU-0053,LINKED_PARTY,27961222
SYN-C-LN-0054,SYN-C-BR-0054,BORROWER,12695272
SYN-C-LN-0054,SYN-C-CO-0054,CO_BORROWER,12695272
SYN-C-LN-0054,SYN-C-GU-0054,LINKED_PARTY,12695272
SYN-C-LN-0055,SYN-C-BR-0055,BORROWER,16679437
SYN-C-LN-0055,SYN-C-CO-0055,CO_BORROWER,16679437
SYN-C-LN-0055,SYN-C-GU-0055,LINKED_PARTY,16679437
SYN-C-LN-0056,SYN-C-BR-0056,BORROWER,14616249
SYN-C-LN-0056,SYN-C-CO-0056,CO_BORROWER,14616249
SYN-C-LN-0056,SYN-C-GU-0056,LINKED_PARTY,14616249
SYN-C-LN-0057,SYN-C-BR-0057,BORROWER,19810962
SYN-C-LN-0057,SYN-C-CO-0057,CO_BORROWER,19810962
SYN-C-LN-0057,SYN-C-GU-0057,LINKED_PARTY,19810962
SYN-C-LN-0058,SYN-C-BR-0058,BORROWER,17929940
SYN-C-LN-0058,SYN-C-CO-0058,CO_BORROWER,17929940
SYN-C-LN-0058,SYN-C-GU-0058,LINKED_PARTY,17929940
SYN-C-LN-0059,SYN-C-BR-0059,BORROWER,23129743
SYN-C-LN-0059,SYN-C-CO-0059,CO_BORROWER,23129743
SYN-C-LN-0059,SYN-C-GU-0059,LINKED_PARTY,23129743
SYN-C-LN-0060,SYN-C-BR-0060,BORROWER,22636730
SYN-C-LN-0060,SYN-C-CO-0060,CO_BORROWER,22636730
SYN-C-LN-0060,SYN-C-GU-0060,LINKED_PARTY,22636730
SYN-C-LN-0061,SYN-C-BR-0061,BORROWER,26043312
SYN-C-LN-0061,SYN-C-CO-0061,CO_BORROWER,26043312
SYN-C-LN-0062,SYN-C-BR-0062,BORROWER,24806781
SYN-C-LN-0062,SYN-C-CO-0062,CO_BORROWER,24806781
SYN-C-LN-0063,SYN-C-BR-0063,BORROWER,15620338
SYN-C-LN-0063,SYN-C-CO-0063,CO_BORROWER,15620338
SYN-C-LN-0064,SYN-C-BR-0064,BORROWER,13435830
SYN-C-LN-0064,SYN-C-CO-0064,CO_BORROWER,13435830
SYN-C-LN-0065,SYN-C-BR-0065,BORROWER,18106327
SYN-C-LN-0065,SYN-C-CO-0065,CO_BORROWER,18106327
SYN-C-LN-0066,SYN-C-BR-0066,BORROWER,18355097
SYN-C-LN-0066,SYN-C-CO-0066,CO_BORROWER,18355097
SYN-C-LN-0067,SYN-C-BR-0067,BORROWER,21333383
SYN-C-LN-0067,SYN-C-CO-0067,CO_BORROWER,21333383
SYN-C-LN-0068,SYN-C-BR-0068,BORROWER,19585293
SYN-C-LN-0068,SYN-C-CO-0068,CO_BORROWER,19585293
SYN-C-LN-0069,SYN-C-BR-0069,BORROWER,24737382
SYN-C-LN-0069,SYN-C-CO-0069,CO_BORROWER,24737382
SYN-C-LN-0070,SYN-C-BR-0070,BORROWER,22756550
SYN-C-LN-0070,SYN-C-CO-0070,CO_BORROWER,22756550
SYN-C-LN-0071,SYN-C-BR-0071,BORROWER,27736826
SYN-C-LN-0071,SYN-C-CO-0071,CO_BORROWER,27736826
SYN-C-LN-0072,SYN-C-BR-0072,BORROWER,12522754
SYN-C-LN-0072,SYN-C-CO-0072,CO_BORROWER,12522754
SYN-C-LN-0073,SYN-C-BR-0073,BORROWER,17009900
SYN-C-LN-0073,SYN-C-CO-0073,CO_BORROWER,17009900
SYN-C-LN-0074,SYN-C-BR-0074,BORROWER,14903778
SYN-C-LN-0074,SYN-C-CO-0074,CO_BORROWER,14903778
SYN-C-LN-0075,SYN-C-BR-0075,BORROWER,19580086
SYN-C-LN-0075,SYN-C-CO-0075,CO_BORROWER,19580086
SYN-C-LN-0076,SYN-C-BR-0076,BORROWER,17724229
SYN-C-LN-0076,SYN-C-CO-0076,CO_BORROWER,17724229
SYN-C-LN-0077,SYN-C-BR-0077,BORROWER,22899353
SYN-C-LN-0077,SYN-C-CO-0077,CO_BORROWER,22899353
SYN-C-LN-0078,SYN-C-BR-0078,BORROWER,22931050
SYN-C-LN-0078,SYN-C-CO-0078,CO_BORROWER,22931050
SYN-C-LN-0079,SYN-C-BR-0079,BORROWER,26385000
SYN-C-LN-0079,SYN-C-CO-0079,CO_BORROWER,26385000
SYN-C-LN-0080,SYN-C-BR-0080,BORROWER,24592990
SYN-C-LN-0080,SYN-C-CO-0080,CO_BORROWER,24592990
SYN-C-LN-0081,SYN-C-BR-0081,BORROWER,15407602
SYN-C-LN-0081,SYN-C-CO-0081,CO_BORROWER,15407602
SYN-C-LN-0082,SYN-C-BR-0082,BORROWER,13253248
SYN-C-LN-0082,SYN-C-CO-0082,CO_BORROWER,13253248
SYN-C-LN-0083,SYN-C-BR-0083,BORROWER,18445146
SYN-C-LN-0083,SYN-C-CO-0083,CO_BORROWER,18445146
SYN-C-LN-0084,SYN-C-BR-0084,BORROWER,18632435
SYN-C-LN-0084,SYN-C-CO-0084,CO_BORROWER,18632435
SYN-C-LN-0085,SYN-C-BR-0085,BORROWER,21099871
SYN-C-LN-0085,SYN-C-CO-0085,CO_BORROWER,21099871
SYN-C-LN-0086,SYN-C-BR-0086,BORROWER,19375079
SYN-C-LN-0086,SYN-C-CO-0086,CO_BORROWER,19375079
SYN-C-LN-0087,SYN-C-BR-0087,BORROWER,24507971
SYN-C-LN-0087,SYN-C-CO-0087,CO_BORROWER,24507971
SYN-C-LN-0088,SYN-C-BR-0088,BORROWER,23078038
SYN-C-LN-0088,SYN-C-CO-0088,CO_BORROWER,23078038
SYN-C-LN-0089,SYN-C-BR-0089,BORROWER,28071652
SYN-C-LN-0089,SYN-C-CO-0089,CO_BORROWER,28071652
SYN-C-LN-0090,SYN-C-BR-0090,BORROWER,12349535
SYN-C-LN-0090,SYN-C-CO-0090,CO_BORROWER,12349535
SYN-C-LN-0091,SYN-C-BR-0091,BORROWER,16790313
SYN-C-LN-0091,SYN-C-CO-0091,CO_BORROWER,16790313
SYN-C-LN-0092,SYN-C-BR-0092,BORROWER,14712342
SYN-C-LN-0092,SYN-C-CO-0092,CO_BORROWER,14712342
SYN-C-LN-0093,SYN-C-BR-0093,BORROWER,19925074
SYN-C-LN-0093,SYN-C-CO-0093,CO_BORROWER,19925074
SYN-C-LN-0094,SYN-C-BR-0094,BORROWER,18032220
SYN-C-LN-0094,SYN-C-CO-0094,CO_BORROWER,18032220
SYN-C-LN-0095,SYN-C-BR-0095,BORROWER,22664853
SYN-C-LN-0095,SYN-C-CO-0095,CO_BORROWER,22664853
SYN-C-LN-0096,SYN-C-BR-0096,BORROWER,22735405
SYN-C-LN-0096,SYN-C-CO-0096,CO_BORROWER,22735405
SYN-C-LN-0097,SYN-C-BR-0097,BORROWER,26158346
SYN-C-LN-0097,SYN-C-CO-0097,CO_BORROWER,26158346
SYN-C-LN-0098,SYN-C-BR-0098,BORROWER,24912746
SYN-C-LN-0098,SYN-C-CO-0098,CO_BORROWER,24912746
SYN-C-LN-0099,SYN-C-BR-0099,BORROWER,15725713
SYN-C-LN-0099,SYN-C-CO-0099,CO_BORROWER,15725713
SYN-C-LN-0100,SYN-C-BR-0100,BORROWER,13069924
SYN-C-LN-0100,SYN-C-CO-0100,CO_BORROWER,13069924
SYN-C-LN-0101,SYN-C-BR-0101,BORROWER,18220069
SYN-C-LN-0101,SYN-C-CO-0101,CO_BORROWER,18220069
SYN-C-LN-0102,SYN-C-BR-0102,BORROWER,18447988
SYN-C-LN-0102,SYN-C-CO-0102,CO_BORROWER,18447988
SYN-C-LN-0103,SYN-C-BR-0103,BORROWER,21448703
SYN-C-LN-0103,SYN-C-CO-0103,CO_BORROWER,21448703
SYN-C-LN-0104,SYN-C-BR-0104,BORROWER,19689725
SYN-C-LN-0104,SYN-C-CO-0104,CO_BORROWER,19689725
SYN-C-LN-0105,SYN-C-BR-0105,BORROWER,24274214
SYN-C-LN-0105,SYN-C-CO-0105,CO_BORROWER,24274214
SYN-C-LN-0106,SYN-C-BR-0106,BORROWER,22864274
SYN-C-LN-0106,SYN-C-CO-0106,CO_BORROWER,22864274
SYN-C-LN-0107,SYN-C-BR-0107,BORROWER,27849610
SYN-C-LN-0107,SYN-C-CO-0107,CO_BORROWER,27849610
SYN-C-LN-0108,SYN-C-BR-0108,BORROWER,12609105
SYN-C-LN-0108,SYN-C-CO-0108,CO_BORROWER,12609105
SYN-C-LN-0109,SYN-C-BR-0109,BORROWER,17118579
SYN-C-LN-0109,SYN-C-CO-0109,CO_BORROWER,17118579
SYN-C-LN-0110,SYN-C-BR-0110,BORROWER,14519917
SYN-C-LN-0110,SYN-C-CO-0110,CO_BORROWER,14519917
SYN-C-LN-0111,SYN-C-BR-0111,BORROWER,19695962
SYN-C-LN-0111,SYN-C-CO-0111,CO_BORROWER,19695962
SYN-C-LN-0112,SYN-C-BR-0112,BORROWER,17827273
SYN-C-LN-0112,SYN-C-CO-0112,CO_BORROWER,17827273
SYN-C-LN-0113,SYN-C-BR-0113,BORROWER,23015068
SYN-C-LN-0113,SYN-C-CO-0113,CO_BORROWER,23015068
SYN-C-LN-0114,SYN-C-BR-0114,BORROWER,23028007
SYN-C-LN-0114,SYN-C-CO-0114,CO_BORROWER,23028007
SYN-C-LN-0115,SYN-C-BR-0115,BORROWER,25927152
SYN-C-LN-0115,SYN-C-CO-0115,CO_BORROWER,25927152
SYN-C-LN-0116,SYN-C-BR-0116,BORROWER,24700193
SYN-C-LN-0116,SYN-C-CO-0116,CO_BORROWER,24700193
SYN-C-LN-0117,SYN-C-BR-0117,BORROWER,15514296
SYN-C-LN-0117,SYN-C-CO-0117,CO_BORROWER,15514296
SYN-C-LN-0118,SYN-C-BR-0118,BORROWER,13344636
SYN-C-LN-0118,SYN-C-CO-0118,CO_BORROWER,13344636
SYN-C-LN-0119,SYN-C-BR-0119,BORROWER,18556451
SYN-C-LN-0119,SYN-C-CO-0119,CO_BORROWER,18556451
SYN-C-LN-0120,SYN-C-BR-0120,BORROWER,18261774
SYN-C-LN-0120,SYN-C-CO-0120,CO_BORROWER,18261774
SYN-C-LN-0121,SYN-C-BR-0121,BORROWER,21217101
SYN-C-LN-0121,SYN-C-CO-0121,CO_BORROWER,21217101
SYN-C-LN-0122,SYN-C-BR-0122,BORROWER,19480407
SYN-C-LN-0122,SYN-C-CO-0122,CO_BORROWER,19480407
SYN-C-LN-0123,SYN-C-BR-0123,BORROWER,24623225
SYN-C-LN-0123,SYN-C-CO-0123,CO_BORROWER,24623225
SYN-C-LN-0124,SYN-C-BR-0124,BORROWER,23184061
SYN-C-LN-0124,SYN-C-CO-0124,CO_BORROWER,23184061
SYN-C-LN-0125,SYN-C-BR-0125,BORROWER,27622876
SYN-C-LN-0125,SYN-C-CO-0125,CO_BORROWER,27622876
SYN-C-LN-0126,SYN-C-BR-0126,BORROWER,12436228
SYN-C-LN-0126,SYN-C-CO-0126,CO_BORROWER,12436228
SYN-C-LN-0127,SYN-C-BR-0127,BORROWER,16900473
SYN-C-LN-0127,SYN-C-CO-0127,CO_BORROWER,16900473
SYN-C-LN-0128,SYN-C-BR-0128,BORROWER,14808189
SYN-C-LN-0128,SYN-C-CO-0128,CO_BORROWER,14808189
SYN-C-LN-0129,SYN-C-BR-0129,BORROWER,20038283
SYN-C-LN-0129,SYN-C-CO-0129,CO_BORROWER,20038283
SYN-C-LN-0130,SYN-C-BR-0130,BORROWER,17620816
SYN-C-LN-0130,SYN-C-CO-0130,CO_BORROWER,17620816
SYN-C-LN-0131,SYN-C-BR-0131,BORROWER,22782611
SYN-C-LN-0131,SYN-C-CO-0131,CO_BORROWER,22782611
SYN-C-LN-0132,SYN-C-BR-0132,BORROWER,22833514
SYN-C-LN-0132,SYN-C-CO-0132,CO_BORROWER,22833514
SYN-C-LN-0133,SYN-C-BR-0133,BORROWER,26272245
SYN-C-LN-0133,SYN-C-CO-0133,CO_BORROWER,26272245
SYN-C-LN-0134,SYN-C-BR-0134,BORROWER,25018082
SYN-C-LN-0134,SYN-C-CO-0134,CO_BORROWER,25018082
SYN-C-LN-0135,SYN-C-BR-0135,BORROWER,15300272
SYN-C-LN-0135,SYN-C-CO-0135,CO_BORROWER,15300272
SYN-C-LN-0136,SYN-C-BR-0136,BORROWER,13161674
SYN-C-LN-0136,SYN-C-CO-0136,CO_BORROWER,13161674
SYN-C-LN-0137,SYN-C-BR-0137,BORROWER,18333013
SYN-C-LN-0137,SYN-C-CO-0137,CO_BORROWER,18333013
SYN-C-LN-0138,SYN-C-BR-0138,BORROWER,18540436
SYN-C-LN-0138,SYN-C-CO-0138,CO_BORROWER,18540436
SYN-C-LN-0139,SYN-C-BR-0139,BORROWER,21563049
SYN-C-LN-0139,SYN-C-CO-0139,CO_BORROWER,21563049
SYN-C-LN-0140,SYN-C-BR-0140,BORROWER,19269315
SYN-C-LN-0140,SYN-C-CO-0140,CO_BORROWER,19269315
SYN-C-LN-0141,SYN-C-BR-0141,BORROWER,24391630
SYN-C-LN-0141,SYN-C-CO-0141,CO_BORROWER,24391630
SYN-C-LN-0142,SYN-C-BR-0142,BORROWER,22971440
SYN-C-LN-0142,SYN-C-CO-0142,CO_BORROWER,22971440
SYN-C-LN-0143,SYN-C-BR-0143,BORROWER,27961222
SYN-C-LN-0143,SYN-C-CO-0143,CO_BORROWER,27961222
SYN-C-LN-0144,SYN-C-BR-0144,BORROWER,12695272
SYN-C-LN-0144,SYN-C-CO-0144,CO_BORROWER,12695272
SYN-C-LN-0145,SYN-C-BR-0145,BORROWER,16679437
SYN-C-LN-0145,SYN-C-CO-0145,CO_BORROWER,16679437
SYN-C-LN-0146,SYN-C-BR-0146,BORROWER,14616249
