loan_id,party_id,party_role,principal_minor
SYN-D-LN-0001,SYN-D-BR-0001,BORROWER,17273397
SYN-D-LN-0001,SYN-D-CO-0001,CO_BORROWER,17273397
SYN-D-LN-0001,SYN-D-GU-0001,LINKED_PARTY,17273397
SYN-D-LN-0002,SYN-D-BR-0002,BORROWER,14992810
SYN-D-LN-0002,SYN-D-CO-0002,CO_BORROWER,14992810
SYN-D-LN-0002,SYN-D-GU-0002,LINKED_PARTY,14992810
SYN-D-LN-0003,SYN-D-BR-0003,BORROWER,20130683
SYN-D-LN-0003,SYN-D-CO-0003,CO_BORROWER,20130683
SYN-D-LN-0003,SYN-D-GU-0003,LINKED_PARTY,20130683
SYN-D-LN-0004,SYN-D-BR-0004,BORROWER,18075532
SYN-D-LN-0004,SYN-D-CO-0004,CO_BORROWER,18075532
SYN-D-LN-0004,SYN-D-GU-0004,LINKED_PARTY,18075532
SYN-D-LN-0005,SYN-D-BR-0005,BORROWER,22556061
SYN-D-LN-0005,SYN-D-CO-0005,CO_BORROWER,22556061
SYN-D-LN-0005,SYN-D-GU-0005,LINKED_PARTY,22556061
SYN-D-LN-0006,SYN-D-BR-0006,BORROWER,22476685
SYN-D-LN-0006,SYN-D-CO-0006,CO_BORROWER,22476685
SYN-D-LN-0006,SYN-D-GU-0006,LINKED_PARTY,22476685
SYN-D-LN-0007,SYN-D-BR-0007,BORROWER,25702821
SYN-D-LN-0007,SYN-D-CO-0007,CO_BORROWER,25702821
SYN-D-LN-0007,SYN-D-GU-0007,LINKED_PARTY,25702821
SYN-D-LN-0008,SYN-D-BR-0008,BORROWER,24340532
SYN-D-LN-0008,SYN-D-CO-0008,CO_BORROWER,24340532
SYN-D-LN-0008,SYN-D-GU-0008,LINKED_PARTY,24340532
SYN-D-LN-0009,SYN-D-BR-0009,BORROWER,16348646
SYN-D-LN-0009,SYN-D-CO-0009,CO_BORROWER,16348646
SYN-D-LN-0009,SYN-D-GU-0009,LINKED_PARTY,16348646
SYN-D-LN-0010,SYN-D-BR-0010,BORROWER,13445966
SYN-D-LN-0010,SYN-D-CO-0010,CO_BORROWER,13445966
SYN-D-LN-0010,SYN-D-GU-0010,LINKED_PARTY,13445966
SYN-D-LN-0011,SYN-D-BR-0011,BORROWER,18567405
SYN-D-LN-0011,SYN-D-CO-0011,CO_BORROWER,18567405
SYN-D-LN-0011,SYN-D-GU-0011,LINKED_PARTY,18567405
SYN-D-LN-0012,SYN-D-BR-0012,BORROWER,18638355
SYN-D-LN-0012,SYN-D-CO-0012,CO_BORROWER,18638355
SYN-D-LN-0012,SYN-D-GU-0012,LINKED_PARTY,18638355
SYN-D-LN-0013,SYN-D-BR-0013,BORROWER,21500223
SYN-D-LN-0013,SYN-D-CO-0013,CO_BORROWER,21500223
SYN-D-LN-0013,SYN-D-GU-0013,LINKED_PARTY,21500223
SYN-D-LN-0014,SYN-D-BR-0014,BORROWER,19595214
SYN-D-LN-0014,SYN-D-CO-0014,CO_BORROWER,19595214
SYN-D-LN-0014,SYN-D-GU-0014,LINKED_PARTY,19595214
SYN-D-LN-0015,SYN-D-BR-0015,BORROWER,23997983
SYN-D-LN-0015,SYN-D-CO-0015,CO_BORROWER,23997983
SYN-D-LN-0015,SYN-D-GU-0015,LINKED_PARTY,23997983
