loan_id,party_id,party_role,principal_minor
SYN-B-LN-0001,SYN-B-BR-0001,BORROWER,16669239
SYN-B-LN-0001,SYN-B-CO-0001,CO_BORROWER,16669239
SYN-B-LN-0001,SYN-B-GU-0001,LINKED_PARTY,16669239
SYN-B-LN-0002,SYN-B-BR-0002,BORROWER,14822054
SYN-B-LN-0002,SYN-B-CO-0002,CO_BORROWER,14822054
SYN-B-LN-0002,SYN-B-GU-0002,LINKED_PARTY,14822054
SYN-B-LN-0003,SYN-B-BR-0003,BORROWER,20336901
SYN-B-LN-0003,SYN-B-CO-0003,CO_BORROWER,20336901
SYN-B-LN-0004,SYN-B-BR-0004,BORROWER,18620623
SYN-B-LN-0004,SYN-B-CO-0004,CO_BORROWER,18620623
SYN-B-LN-0005,SYN-B-BR-0005,BORROWER,23651049
SYN-B-LN-0006,SYN-B-BR-0006,BORROWER,23950686
SYN-B-LN-0007,SYN-B-BR-0007,BORROWER,27795097
SYN-B-LN-0008,SYN-B-BR-0008,BORROWER,26680633
SYN-B-LN-0009,SYN-B-BR-0009,BORROWER,15354738
SYN-B-LN-0010,SYN-B-BR-0010,BORROWER,12975677
SYN-B-LN-0011,SYN-B-BR-0011,BORROWER,18355937
SYN-B-LN-0012,SYN-B-BR-0012,BORROWER,18829285
SYN-B-LN-0013,SYN-B-BR-0013,BORROWER,22148588
SYN-B-LN-0014,SYN-B-BR-0014,BORROWER,20546467
SYN-B-LN-0015,SYN-B-BR-0015,BORROWER,25571750
SYN-B-LN-0016,SYN-B-BR-0016,BORROWER,24294912
SYN-B-LN-0017,SYN-B-BR-0017,BORROWER,29825907
SYN-B-LN-0018,SYN-B-BR-0018,BORROWER,12311652
