loan_id,party_id,party_role,principal_minor
SYN-C-LN-0001,SYN-C-BR-0001,BORROWER,21383771
SYN-C-LN-0001,SYN-C-CO-0001,CO_BORROWER,21383771
SYN-C-LN-0001,SYN-C-GU-0001,LINKED_PARTY,21383771
SYN-C-LN-0002,SYN-C-BR-0002,BORROWER,18737313
SYN-C-LN-0002,SYN-C-CO-0002,CO_BORROWER,18737313
SYN-C-LN-0002,SYN-C-GU-0002,LINKED_PARTY,18737313
SYN-C-LN-0003,SYN-C-BR-0003,BORROWER,25376133
SYN-C-LN-0003,SYN-C-CO-0003,CO_BORROWER,25376133
SYN-C-LN-0003,SYN-C-GU-0003,LINKED_PARTY,25376133
SYN-C-LN-0004,SYN-C-BR-0004,BORROWER,22965435
SYN-C-LN-0004,SYN-C-CO-0004,CO_BORROWER,22965435
SYN-C-LN-0005,SYN-C-BR-0005,BORROWER,28865454
SYN-C-LN-0005,SYN-C-CO-0005,CO_BORROWER,28865454
SYN-C-LN-0006,SYN-C-BR-0006,BORROWER,28955308
SYN-C-LN-0007,SYN-C-BR-0007,BORROWER,33314690
SYN-C-LN-0008,SYN-C-BR-0008,BORROWER,31728321
SYN-C-LN-0009,SYN-C-BR-0009,BORROWER,20027919
SYN-C-LN-0010,SYN-C-BR-0010,BORROWER,16645566
SYN-C-LN-0011,SYN-C-BR-0011,BORROWER,23204676
SYN-C-LN-0012,SYN-C-BR-0012,BORROWER,23494948
SYN-C-LN-0013,SYN-C-BR-0013,BORROWER,27316592
SYN-C-LN-0014,SYN-C-BR-0014,BORROWER,25076397
SYN-C-LN-0015,SYN-C-BR-0015,BORROWER,30915101
SYN-C-LN-0016,SYN-C-BR-0016,BORROWER,29119433
SYN-C-LN-0017,SYN-C-BR-0017,BORROWER,35468646
SYN-C-LN-0018,SYN-C-BR-0018,BORROWER,16058677
SYN-C-LN-0019,SYN-C-BR-0019,BORROWER,21801843
SYN-C-LN-0020,SYN-C-BR-0020,BORROWER,18492245
