classification,seller_institution_id,loanbook_ref,loan_id,party_id,party_role,principal_minor
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0001,SYN-A-BR-0001,BORROWER,11954707
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0001,SYN-A-CO-0001,CO_BORROWER,11954707
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0001,SYN-A-GU-0001,LINKED_PARTY,11954707
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0002,SYN-A-BR-0002,BORROWER,10906794
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0002,SYN-A-CO-0002,CO_BORROWER,10906794
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0002,SYN-A-GU-0002,LINKED_PARTY,10906794
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0003,SYN-A-BR-0003,BORROWER,15297669
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0003,SYN-A-CO-0003,CO_BORROWER,15297669
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0003,SYN-A-GU-0003,LINKED_PARTY,15297669
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0004,SYN-A-BR-0004,BORROWER,14275811
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0004,SYN-A-CO-0004,CO_BORROWER,14275811
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0005,SYN-A-BR-0005,BORROWER,18436645
SYNTHETIC_ONLY,demo-nbfc-ev-001,SYN-EV-2W-2025,SYN-A-LN-0005,SYN-A-CO-0005,CO_BORROWER,18436645
