loan_id,party_id,party_role,principal_minor
SYN-A-LN-0001,SYN-A-BR-0001,BORROWER,11954707
SYN-A-LN-0001,SYN-A-CO-0001,CO_BORROWER,11954707
SYN-A-LN-0001,SYN-A-GU-0001,LINKED_PARTY,11954707
SYN-A-LN-0002,SYN-A-BR-0002,BORROWER,10906794
SYN-A-LN-0002,SYN-A-CO-0002,CO_BORROWER,10906794
SYN-A-LN-0002,SYN-A-GU-0002,LINKED_PARTY,10906794
SYN-A-LN-0003,SYN-A-BR-0003,BORROWER,15297669
SYN-A-LN-0003,SYN-A-CO-0003,CO_BORROWER,15297669
SYN-A-LN-0003,SYN-A-GU-0003,LINKED_PARTY,15297669
SYN-A-LN-0004,SYN-A-BR-0004,BORROWER,14275811
SYN-A-LN-0004,SYN-A-CO-0004,CO_BORROWER,14275811
SYN-A-LN-0005,SYN-A-BR-0005,BORROWER,18436645
SYN-A-LN-0005,SYN-A-CO-0005,CO_BORROWER,18436645
SYN-A-LN-0006,SYN-A-BR-0006,BORROWER,18946065
SYN-A-LN-0006,SYN-A-CO-0006,CO_BORROWER,18946065
SYN-A-LN-0007,SYN-A-BR-0007,BORROWER,22275503
SYN-A-LN-0008,SYN-A-BR-0008,BORROWER,21632946
SYN-A-LN-0009,SYN-A-BR-0009,BORROWER,10681557
SYN-A-LN-0010,SYN-A-BR-0010,BORROWER,9305789
SYN-A-LN-0011,SYN-A-BR-0011,BORROWER,13507199
SYN-A-LN-0012,SYN-A-BR-0012,BORROWER,14163621
SYN-A-LN-0013,SYN-A-BR-0013,BORROWER,16980584
SYN-A-LN-0014,SYN-A-BR-0014,BORROWER,16016537
SYN-A-LN-0015,SYN-A-BR-0015,BORROWER,20228399
SYN-A-LN-0016,SYN-A-BR-0016,BORROWER,19470390
SYN-A-LN-0017,SYN-A-BR-0017,BORROWER,24183168
SYN-A-LN-0018,SYN-A-BR-0018,BORROWER,8564628
SYN-A-LN-0019,SYN-A-BR-0019,BORROWER,12188432
SYN-A-LN-0020,SYN-A-BR-0020,BORROWER,10764143
SYN-A-LN-0021,SYN-A-BR-0021,BORROWER,15121765
SYN-A-LN-0022,SYN-A-BR-0022,BORROWER,14113558
SYN-A-LN-0023,SYN-A-BR-0023,BORROWER,18721526
SYN-A-LN-0024,SYN-A-BR-0024,BORROWER,19189899
SYN-A-LN-0001,SYN-A-BR-0001,BORROWER,11954707
